省/自治区/直辖市,新增确诊,新增本土,新增境外,新增无症状,现有确诊,累计确诊,累计死亡,累计治愈,统计时间
台湾,15273,0,0,0,8399146,8427473,14585,13742,2022-12-09 10:32:03
香港,1684,0,0,0,357400,469948,10891,101657,2022-12-09 10:32:03
广东,1403,1391,12,2004,14336,51041,8,36697,2022-12-09 10:32:03
北京,1192,1185,7,1497,9990,21956,13,11953,2022-12-09 10:32:03
贵州,212,212,0,474,469,1707,2,1236,2022-12-09 10:32:03
河南,198,198,0,213,2576,8390,23,5791,2022-12-09 10:32:03
重庆,112,111,1,2656,2152,7867,7,5708,2022-12-09 10:32:03
福建,96,96,0,219,1156,7048,1,5891,2022-12-09 10:32:03
浙江,73,73,0,175,1222,5239,1,4016,2022-12-09 10:32:03
四川,70,67,3,297,2166,10880,5,8709,2022-12-09 10:32:03
海南,67,67,0,155,546,9609,6,9057,2022-12-09 10:32:03
山东,65,64,1,437,569,4411,8,3834,2022-12-09 10:32:03
辽宁,56,55,1,166,434,2887,2,2451,2022-12-09 10:32:03
黑龙江,48,48,0,720,967,5298,13,4318,2022-12-09 10:32:03
云南,45,45,0,289,1648,4895,2,3245,2022-12-09 10:32:03
上海,33,28,5,354,359,64892,595,63938,2022-12-09 10:32:03
内蒙古,32,31,1,79,595,8134,1,7538,2022-12-09 10:32:03
陕西,28,27,1,848,726,5365,3,4636,2022-12-09 10:32:03
江苏,26,25,1,277,327,3734,0,3407,2022-12-09 10:32:03
湖北,21,10,11,263,295,68817,4512,64010,2022-12-09 10:32:03
山西,13,13,0,1060,1608,4981,0,3373,2022-12-09 10:32:03
澳门,12,0,0,0,54,851,6,791,2022-12-09 10:32:03
青海,10,10,0,169,72,499,0,427,2022-12-09 10:32:03
湖南,7,7,0,129,444,2397,4,1949,2022-12-09 10:32:03
新疆,4,4,0,233,396,2630,3,2231,2022-12-09 10:32:03
河北,2,2,0,134,101,2827,7,2719,2022-12-09 10:32:03
广西,2,2,0,102,51,2427,2,2374,2022-12-09 10:32:03
江西,1,0,1,35,15,1545,1,1529,2022-12-09 10:32:03
安徽,1,1,0,72,63,1689,6,1620,2022-12-09 10:32:03
西藏,1,1,0,19,12,1518,0,1506,2022-12-09 10:32:03
甘肃,1,0,1,114,36,1560,2,1522,2022-12-09 10:32:03
天津,0,0,0,375,35,2612,3,2574,2022-12-09 10:32:03
宁夏,0,0,0,194,2,237,0,235,2022-12-09 10:32:03
吉林,0,0,0,162,67,40482,5,40410,2022-12-09 10:32:03
